word,stem_group,type
의아해지다,369,지다
의아해하다,369,-어 하다
이상야릇하다,370,원형
이상야릇해지다,370,지다
이상야릇해하다,370,-어 하다
자괴하다,371,원형
자괴해지다,371,지다
자괴되다,371,명사+기타
자긍하다,372,원형
자긍해지다,372,지다
자긍되다,372,명사+기타
자랑스럽다,373,원형
자랑스러워지다,373,지다
자랑스러워하다,373,-어 하다
자랑하다,374,원형
자부하다,375,원형
자신만만하다,376,원형
자신만만해지다,376,지다
자신만만해하다,376,-어 하다
자신하다,377,원형
자족하다,378,원형
자족해지다,378,지다
자족해하다,378,-어 하다
자책하다,379,원형
자책해지다,379,지다
자책되다,379,명사+기타
자포자기하다,380,원형
자포자기해지다,380,지다
자포자기되다,380,명사+기타
재미있다,381,원형
재미있어지다,381,지다
재미있어하다,381,-어 하다
적적하다,382,원형
적적해지다,382,지다
적적해하다,382,-어 하다
전율하다,383,원형
전율해지다,383,지다
전율되다,383,명사+기타
전전긍긍하다,384,원형
전전긍긍해지다,384,지다
전전긍긍해하다,384,-어 하다
절절하다,385,원형
절절해지다,385,지다
절절해하다,385,-어 하다
정가다,386,원형
정겹다,387,원형
정겨워지다,387,지다
정겨워하다,387,-어 하다
조마조마하다,388,원형
조마조마해지다,388,지다
조마조마해하다,388,-어 하다
조바심하다,389,원형
조바심들다,389,명사+기타
조바심일다,389,명사+기타
조바심나다,390,원형
조바심내다,390,명사+기타
좋다,391,원형
좋아지다,391,지다
좌절하다,392,원형
좌절되다,392,명사+기타
죄송스럽다,393,원형
죄송스러워지다,393,지다
죄송스러워하다,393,-어 하다
죄송하다,394,원형
죄송해지다,394,지다
죄송해하다,394,-어 하다
죄스럽다,395,원형
죄스러워지다,395,지다
죄스러워하다,395,-어 하다
주눅들다,396,원형
주눅들어지다,396,지다
